Zone,Building Type,Level,CurretBuilding#,AppraiseValue,RetrofitCost,ValuebyLevel,TotalLoss,BuildingLoss
Z5,W1,3,0,139426,0.05,146397.3,10120,7337
Z5,W1,4,0,139426,0.08,150580.08,7110,5236
Z6,W1,1,700,139426,0,139426,18717,15075
Z6,W1,2,0,139426,0.01,140820.26,18826,14837
Z6,W1,3,0,139426,0.05,146397.3,9114,6624
Z6,W1,4,0,139426,0.08,150580.08,6363,4700
Z6,W5,1,77,3918960,0,3918960,526097,423712
Z6,W5,2,0,3918960,0.01,3958149.6,529152,417043
Z6,W5,3,0,3918960,0.05,4114908,256165,186178
Z6,W5,4,0,3918960,0.08,4232476.8,178864,132103
Z7,W6,1,0,61800,0,61800,9612,8196
Z7,W6,2,1352,61800,0.01,62418,9238,7759
Z7,W6,3,0,61800,0.05,64890,7896,6951
Z7,W6,4,0,61800,0.08,66744,7122,6485
Z8,S1,1,0,5134500,0,5134500,1140855,840261
Z8,S1,2,16,5134500,0.01,5185845,1077488,776894
Z8,S1,3,0,5134500,0.05,5391225,531134,336031
Z8,S1,4,0,5134500,0.08,5545260,300251,169417
Z8,RC1,1,0,4948000,0,4948000,1287502,998008
Z8,RC1,2,11,4948000,0.01,4997480,1211517,921841
Z8,RC1,3,0,4948000,0.05,5195400,566678,386470
Z8,RC1,4,0,4948000,0.08,5343840,307168,180550
Z8,RM1,1,30,2205250,0,2205250,469505,345068
Z8,RM1,2,0,2205250,0.01,2227302.5,438450,318513
Z8,RM1,3,0,2205250,0.05,2315512.5,185857,103712
Z8,RM1,4,0,2205250,0.08,2381670,128116,72731
Z9,S1,1,0,5134500,0,5134500,1400642,1048985
Z9,S1,2,29,5134500,0.01,5185845,1299110,947453
Z9,S1,3,0,5134500,0.05,5391225,631777,399591
Z9,S1,4,0,5134500,0.08,5545260,340394,182836
Z9,RC1,1,0,4948000,0,4948000,1583771,1245067
Z9,RC1,2,13,4948000,0.01,4997480,1469267,1130383
Z9,RC1,3,0,4948000,0.05,5195400,684025,469136
Z9,RC1,4,0,4948000,0.08,5343840,347841,195576
Z9,RM1,1,46,2205250,0,2205250,582496,436426
Z9,RM1,2,0,2205250,0.01,2227302.5,536572,395399
Z9,RM1,3,0,2205250,0.05,2315512.5,212234,114462
Z9,RM1,4,0,2205250,0.08,2381670,146483,79918
Z9,S2,1,0,7738750,0,7738750,2921779,2391758
Z9,S2,2,6,7738750,0.01,7816137.5,2760961,2230941
Z9,S2,3,0,7738750,0.05,8125687.5,1387892,1058493
Z9,S2,4,0,7738750,0.08,8357850,722380,485102
Z10,S3,1,25,7382000,0,7382000,1757356,1151928
Z10,S3,2,0,7382000,0.01,7455820,1681311,1075882
Z10,S3,3,0,7382000,0.05,7751100,802833,412736
Z10,S3,4,0,7382000,0.08,7972560,450158,189826
Z11,S4,1,0,39305000,0,39305000,11070499,7263239
Z11,S4,2,0,39305000,0.01,39698050,10633734,6826473
Z11,S4,3,45,39305000,0.05,41270250,5183993,2686442
Z11,S4,4,0,39305000,0.08,42449400,2860873,1173810
ES1,RM3,1,0,9521000,0,9521000,2167802,1576130
ES1,RM3,2,0,9521000,0.01,9616210,2023514,1452331
ES1,RM3,3,1,9521000,0.05,9997050,950959,557139
ES1,RM3,4,0,9521000,0.08,10282680,651538,384477
ES2,RM3,1,0,9521000,0,9521000,1885622,1375836
ES2,RM3,2,0,9521000,0.01,9616210,1749874,1258919
ES2,RM3,3,1,9521000,0.05,9997050,817168,482112
ES2,RM3,4,0,9521000,0.08,10282680,554217,328993
ES3,RM3,1,0,9521000,0,9521000,2421776,1756067
ES3,RM3,2,0,9521000,0.01,9616210,2271072,1627026
ES3,RM3,3,1,9521000,0.05,9997050,1073099,625336
ES3,RM3,4,0,9521000,0.08,10282680,741347,435455
ES4,RM3,1,0,9521000,0,9521000,1873014,1366876
ES4,RM3,2,0,9521000,0.01,9616210,1737685,1250294
ES4,RM3,3,1,9521000,0.05,9997050,811239,478778
ES4,RM3,4,0,9521000,0.08,10282680,549931,326543
MS1,RC3,1,0,9022000,0,9022000,2512886,1907165
MS1,RC3,2,0,9022000,0.01,9112220,2377647,1771595
MS1,RC3,3,1,9022000,0.05,9473100,1194862,811488
MS1,RC3,4,0,9022000,0.08,9743760,678093,406740
MS2,RC3,1,0,9022000,0,9022000,1890801,1441638
MS2,RC3,2,0,9022000,0.01,9112220,1766168,1316680
MS2,RC3,3,1,9022000,0.05,9473100,847767,573282
MS2,RC3,4,0,9022000,0.08,9743760,489974,298651
HS,RC3,1,0,9022000,0,9022000,2259409,1718076
HS,RC3,2,0,9022000,0.01,9112220,2127443,1585777
HS,RC3,3,2,9022000,0.05,9473100,1049695,711710
HS,RC3,4,0,9022000,0.08,9743760,599585,361801
Fire1,RM2,1,0,1103400,0,1103400,320279,203364
Fire1,RM2,2,1,1103400,0.01,1114434,304706,191573
Fire1,RM2,3,0,1103400,0.05,1158570,141820,63108
Fire1,RM2,4,0,1103400,0.08,1191672,99272,45464
Fire2,RM2,1,0,1103400,0,1103400,244665,158159
Fire2,RM2,2,1,1103400,0.01,1114434,229340,146059
Fire2,RM2,3,0,1103400,0.05,1158570,104386,47643
Fire2,RM2,4,0,1103400,0.08,1191672,71431,33340
HC,RC2,1,0,17352000,0,17352000,2768942,1240658
HC,RC2,2,1,17352000,0.01,17525520,2689526,1160281
HC,RC2,3,0,17352000,0.05,18219600,1637852,745958
HC,RC2,4,0,17352000,0.08,18740160,1216343,561908
Govt,RC1,1,0,4948000,0,4948000,1428109,1101923
Govt,RC1,2,8,4948000,0.01,4997480,1354338,1027970
Govt,RC1,3,0,4948000,0.05,5195400,646209,440224
Govt,RC1,4,0,4948000,0.08,5343840,346563,200913
